sla,product_type,brand,service_type,incident_type,open_to_close_hour,response_to_resolved_hour,prediction_error
24x7 4Hrs Response Time,Storage,NetApp,Request,Software,0.5,0.5,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,1.1833333333333333,0.91666666666666663,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Response Time,Software,VMWare,Request,General Incident,3.5833333333333335,2.35,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Firewall,CheckPoint,Request,General Incident,24.483333333333334,24.016666666666666,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Storage,HPE,Request,Upgrade Software,7.0,6.9833333333333334,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,9.0,8.9833333333333325,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,11.0,10.983333333333333,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,20.0,19.983333333333334,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,3.5,3.4833333333333334,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Software,VMWare,Request,Upgrade Software,9.0,8.9833333333333325,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 4Hrs Resolution Time,Storage,NetApp,Request,Hard Disk Drive Failure,7.666666666666667,7.666666666666667,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
24x7 6Hrs Resolution Time,Software,SAPB1,Request,General Incident,313.0,313.0,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
8x5 4Hrs Response Time,Software,Microsoft,Incident,General Incident,16.0,12.5,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
8x5 4Hrs Response Time,Tape Library,HPE,Incident,Controller/Node Failure,12.383333333333333,12.15,"Post request fails. Cannot get predictions. Error: Exceeded retries: Non-OK result 400 ({
    ""error"": ""instances is a plain list, but expecting list of objects as multiple input tensors required as per tensorinfo_map""
}) from server, retry=10, ellapsed=0.01s."
